days,AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PERU,PIURA,PUNO,SAN MARTIN,TACNA,TUMBES,UCAYALI,cada cuatro dias,cada dia,cada dos dias,cada semana,cada tres dias
41,,464.0,,291.0,,322.0,2436.0,158.0,,116.0,248.0,394.0,481.0,1388.0,9107.0,827.0,97.0,,151.0,12491.0,669.0,,205.0,,347.0,,1217.7480857627847,2199023255552.0,1482910.4003789346,57.96631451288984,13003.989417723502
42,,506.0,,311.0,,301.0,2615.0,160.0,,116.0,258.0,436.0,503.0,1602.0,9793.0,881.0,105.0,,158.0,13489.0,790.0,,238.0,,378.0,,1448.1546878700474,4398046511104.0,2097152.000000006,63.99999999999979,16384.000000000015
43,,547.0,,364.0,,316.0,2672.0,174.0,,160.0,268.0,451.0,553.0,1651.0,10234.0,1003.0,113.0,,,14420.0,816.0,,248.0,,443.0,,1722.1558584396048,8796093022208.0,2965820.8007578696,70.66172887512376,20642.54648147762
44,,598.0,,396.0,,328.0,2933.0,182.0,,167.0,284.0,506.0,585.0,1814.0,10877.0,1202.0,116.0,,,15628.0,960.0,,265.0,,451.0,,2047.999999999997,17592186044416.0,4194304.000000013,78.01687386908615,26007.978835447004
45,,630.0,,479.0,,,3101.0,196.0,,167.0,339.0,524.0,615.0,1956.0,11297.0,1355.0,118.0,,,16325.0,1080.0,,282.0,,461.0,,2435.496171525569,35184372088832.0,5931641.60151574,86.13761232847048,32768.00000000003
46,,693.0,,501.0,,,3219.0,202.0,,168.0,353.0,587.0,668.0,2176.0,12256.0,1425.0,120.0,,,17837.0,1207.0,,296.0,,,,2896.3093757400943,70368744177664.0,8388608.000000026,95.10363450476436,41285.09296295524
47,,822.0,,529.0,,,3458.0,203.0,,169.0,401.0,632.0,720.0,2360.0,13214.0,1502.0,121.0,,,19250.0,1396.0,,303.0,,,,3444.311716879209,140737488355328.0,11863283.203031482,105.00292556897726,52015.95767089401
48,,907.0,,571.0,,,3543.0,212.0,,189.0,550.0,655.0,798.0,2548.0,14300.0,1502.0,124.0,,,20914.0,1492.0,,317.0,,,,4095.9999999999936,281474976710656.0,16777216.000000056,115.93262902577962,65536.00000000006
49,,993.0,,624.0,,,3893.0,221.0,,206.0,580.0,689.0,879.0,2646.0,14814.0,1595.0,129.0,,,21648.0,1618.0,,334.0,,,,4870.992343051137,562949953421312.0,23726566.406062968,127.9999999999995,82570.1859259105
50,,1014.0,,655.0,,,3979.0,221.0,,233.0,584.0,,965.0,2763.0,16567.0,1559.0,138.0,,,25331.0,1752.0,,394.0,,,,5792.618751480188,1125899906842624.0,33554432.00000011,141.32345775024743,104031.91534178803
51,,1159.0,,692.0,,,4245.0,230.0,,248.0,676.0,,1062.0,3008.0,17884.0,1666.0,139.0,,,27517.0,1804.0,,,,,,6888.623433758417,2251799813685248.0,47453132.81212594,156.03374773817222,131072.00000000015
52,,1256.0,,692.0,,,4404.0,234.0,,248.0,688.0,,1119.0,3127.0,18571.0,1704.0,,,,28699.0,1914.0,,,,,,8191.999999999985,4503599627370496.0,67108864.00000024,172.27522465694088,165140.371851821
53,,1307.0,,763.0,,,4678.0,249.0,,255.0,698.0,,1206.0,3268.0,20048.0,,,,,31190.0,2214.0,,,,,,9741.984686102274,9007199254740992.0,94906265.6242519,190.2072690095286,208063.83068357606
54,,1390.0,,790.0,,,4968.0,258.0,,259.0,708.0,,1275.0,3479.0,21854.0,,,,,33931.0,2258.0,,,,,,11585.237502960374,1.8014398509481984e+16,134217728.0000005,210.0058511379544,262144.0000000003
55,,,,814.0,,,,280.0,,293.0,860.0,,,,23561.0,,,,,36976.0,,,,,,,13777.246867516833,3.602879701896397e+16,189812531.24850383,231.8652580515591,330280.743703642
56,,,,854.0,,,,328.0,,323.0,884.0,,,,25718.0,,,,,40459.0,,,,,,,16383.999999999969,7.205759403792794e+16,268435456.000001,255.99999999999886,416127.6613671522
57,,,,,,,,,,,,,,,26908.0,,,,,42534.0,,,,,,,19483.969372204545,1.4411518807585587e+17,379625062.49700767,282.6469155004947,524288.0000000006
58,,,,,,,,,,,,,,,28990.0,,,,,45928.0,,,,,,,23170.475005920744,2.8823037615171174e+17,536870912.0000021,312.0674954763443,660561.4874072841
59,,,,,,,,,,,,,,,29842.0,,,,,47372.0,,,,,,,27554.493735033662,5.764607523034235e+17,759250124.9940155,344.5504493138816,832255.3227343044
60,,,,,,,,,,,,,,,32339.0,,,,,51189.0,,,,,,,32767.999999999935,1.152921504606847e+18,1073741824.0000043,380.414538019057,1048576.0000000014
61,,,,,,,,,,,,,,,35299.0,,,,,54817.0,,,,,,,38967.93874440908,2.305843009213694e+18,1518500249.9880311,420.0117022759086,1321122.9748145682
62,,,,,,,,,,,,,,,37606.0,,,,,58526.0,,,,,,,46340.95001184148,4.611686018427388e+18,2147483648.000009,463.73051610311796,1664510.645468609
63,,,,,,,,,,,,,,,39837.0,,,,,61847.0,,,,,,,55108.98747006732,9.223372036854776e+18,3037000499.976063,511.99999999999744,2097152.000000003
